Location,Year,Equivalent Children Supported in basic education
Afghanistan,2012,91270.954745385
Afghanistan,2013,0
Albania,2012,0
Albania,2013,0
Benin,2012,89088.8233975217
Benin,2013,0
Bhutan,2012,0
Bhutan,2013,0
Burkina Faso,2012,298358.937553566
Burkina Faso,2013,0
Burundi,2012,0
Burundi,2013,151376.025643531
Cambodia,2012,220874.090817374
Cambodia,2013,0
Cameroon,2012,95329.4222594316
Cameroon,2013,0
Central African Republic,2012,410496.398833814
Central African Republic,2013,155576.244675588
Chad,2012,0
Chad,2013,103049.303811962
Comoros,2012,0
Comoros,2013,11419.0506897203
Congo DRC,2012,0
Congo DRC,2013,405811.391001413
Côte d'Ivoire,2012,8336.9199659281
Côte d'Ivoire,2013,6851.7942289635
Djibouti,2012,4796.2772693101
Djibouti,2013,2356.2137735495
Eritrea,2012,0
Eritrea,2013,0
Ethiopia,2012,130411.745730296
Ethiopia,2013,46002.883506565
"Gambia, The",2012,49390.4997480639
"Gambia, The",2013,19931.1689469762
Georgia,2012,
Georgia,2013,
Ghana,2012,0
Ghana,2013,85940.0780058521
Guinea,2012,305940.041232282
Guinea,2013,156845.424293534
Guinea-Bissau,2012,0
Guinea-Bissau,2013,75938.5111910975
Guyana,2012,15671.9792050846
Guyana,2013,0
Haiti,2012,55426.7560897865
Haiti,2013,6716.4096623563
Honduras,2012,0
Honduras,2013,0
Kenya,2012,0
Kenya,2013,0
Kyrgyz Republic,2012,16858.0178595034
Kyrgyz Republic,2013,5612.4278974014
Lao PDR,2012,59273.3289351633
Lao PDR,2013,40630.2857139851
Lesotho,2012,0
Lesotho,2013,17791.7303072862
Liberia,2012,17416.5158043266
Liberia,2013,42028.5366855306
Madagascar,2012,708059.671810187
Madagascar,2013,0
Malawi,2012,1018299.30722647
Malawi,2013,1969158.42383263
Mali,2012,0
Mali,2013,8893.9386945007
Mauritania,2012,11295.0044101534
Mauritania,2013,0
Moldova,2012,363.9674248209
Moldova,2013,880.6446195402
Mongolia,2012,2674.0915492624
Mongolia,2013,259.7040133187
Mozambique,2012,189529.990189116
Mozambique,2013,240100.030074568
Nepal,2012,273657.875037497
Nepal,2013,311159.774444897
Nicaragua,2012,0
Nicaragua,2013,2949.3342743114
Niger,2012,23746.0374640251
Niger,2013,0
Nigeria,2012,0
Nigeria,2013,0
Pakistan,2012,0
Pakistan,2013,0
Papua New Guinea,2012,1680.0691299435
Papua New Guinea,2013,21610.4974159264
Rwanda,2012,477076.892159607
Rwanda,2013,472091.494486672
Sao Tome and Principe,2012,0
Sao Tome and Principe,2013,0
Senegal,2012,158166.358179398
Senegal,2013,32020.6083300759
Sierra Leone,2012,49738.3534492293
Sierra Leone,2013,5166.1865420759
Somalia,2012,0
Somalia,2013,41813.4908333333
South Sudan,2012,0
South Sudan,2013,73538.7469204222
Sudan,2012,0
Sudan,2013,18464.5774798958
Tajikistan,2012,41923.0065095663
Tajikistan,2013,23435.4598254269
Tanzania,2012,0
Tanzania,2013,23033.4259484872
Timor-Leste,2012,0
Timor-Leste,2013,668.9763210249
Togo,2012,159346.358198566
Togo,2013,112604.259153385
Uganda,2012,0
Uganda,2013,0
Uzbekistan,2012,0
Uzbekistan,2013,0
Vietnam,2012,0
Vietnam,2013,186208.49026398
Yemen,2012,3279.5831047519
Yemen,2013,33344.0666128809
Zambia,2012,0
Zambia,2013,0
Zimbabwe,2012,0
Zimbabwe,2013,50679.3204124775
Total,2012,4987777.27528943
Total,2013,4961958.93053514
